entity_id;trophic_class;species_id;pos_x;pos_y;pos_z;symmetry;intelligence_level;is_sessile;has_variable_form;adult;photo_cell_count;non_photo_cell_count;grown_cell_count;alive_body_part_count;energy;in_sunlight;reproduced;reproductions;predations;hunger;dopamine;target_distance;movement_speed;movement_dir_x;movement_dir_y;movement_dir_z;velocity_x;velocity_y;velocity_z;is_climbing;climb_energy_debt;cached_bounding_radius;dna_sigma;dna_k_eat;dna_k_repro;dna_lambda_energy;dna_k_curiosity;dna_k_progress;dna_intel_level;dna_is_carnivore;dna_is_photo;dna_symmetry;dna_has_variable_form;dna_is_sessile;dna_cell_count_norm;dna_photo_cell_ratio;dna_body_extent_x;dna_body_extent_y;dna_body_extent_z;dna_body_radius;dna_body_compactness
259;Herbivore;2;1692.170776;441.029724;600.895264;Bilateral;Level1;0;0;1;0;14;14;1;91.151978;1;0;0;2;0.411915;0.000000;6.133932;21.616488;-0.788853;0.000000;0.614582;0.000000;-0.304634;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
261;Herbivore;2;1319.140015;638.589783;2033.000000;Bilateral;Level1;0;0;1;0;14;14;1;130.416763;1;0;0;7;0.262285;0.000000;36.215794;11.302861;-0.868307;0.000000;0.496027;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
263;Herbivore;2;1843.272217;452.470367;983.651367;Bilateral;Level1;0;0;1;0;14;14;1;18.963791;1;0;0;0;0.944534;0.000000;30.596474;26.348942;0.993236;0.000000;-0.116111;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
265;Herbivore;2;427.265259;765.820923;318.886780;Bilateral;Level1;0;0;1;0;14;14;1;120.316299;1;0;0;3;0.294578;0.000000;14.555236;7.496196;-0.361661;0.000000;-0.932310;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
267;Herbivore;2;2012.922119;549.263672;1618.485474;Bilateral;Level1;0;0;1;0;14;14;1;135.617111;1;0;0;3;0.247064;0.319556;26.478888;18.182945;0.667815;0.000000;-0.744327;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
269;Herbivore;2;1920.033691;464.327911;1087.006836;Bilateral;Level1;0;0;1;0;14;14;1;46.507030;1;0;0;0;0.688183;0.000000;50.000000;8.478405;0.998279;0.000000;-0.058651;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
271;Herbivore;2;1496.035767;577.487610;1757.783447;Bilateral;Level1;0;0;1;0;14;14;1;128.199905;1;0;0;9;0.269055;0.255869;19.974188;33.904320;0.595317;0.000000;-0.803491;0.000000;-15.932957;0.000000;0;0.957574;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
273;Herbivore;2;15.000000;570.231934;814.548218;Bilateral;Level1;0;0;1;0;14;14;1;103.134514;1;0;0;1;0.358908;0.000000;50.000000;38.415779;0.472670;0.000000;0.881239;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
275;Herbivore;2;1091.368774;646.415894;1909.413696;Bilateral;Level1;0;0;1;0;14;14;1;138.529785;1;0;0;2;0.238928;0.442780;31.314617;17.607924;-0.991470;0.000000;-0.130333;0.000000;-0.304634;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
277;Herbivore;2;416.143280;679.369019;1928.950195;Bilateral;Level1;0;0;1;0;14;14;1;121.947655;1;0;0;8;0.289105;0.000000;27.403704;36.962860;0.314404;0.000000;0.949289;0.000000;-1.544469;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
279;Herbivore;2;617.356995;515.192505;443.526001;Bilateral;Level1;0;0;1;0;14;14;1;610.303040;1;0;0;4;0.234924;0.600000;30.416042;27.764111;-0.375901;0.000000;-0.926660;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
281;Herbivore;2;1443.623535;406.684845;458.793060;Bilateral;Level1;0;0;1;0;14;14;1;134.973679;1;0;0;7;0.248898;0.200285;7.777047;3.751307;0.989707;0.000000;0.143109;0.000000;-0.942944;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
283;Herbivore;2;2033.000000;547.458130;1505.966675;Bilateral;Level1;0;0;1;0;14;14;1;134.326569;1;0;0;3;0.250757;0.598142;12.570649;18.723881;0.998448;0.000000;-0.055691;0.000000;-0.304634;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
285;Herbivore;2;15.000000;579.642151;739.575317;Bilateral;Level1;0;0;1;0;14;14;1;132.595718;1;0;0;6;0.255796;0.512698;43.299976;18.641075;-0.071711;0.000000;0.997425;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
287;Herbivore;2;1874.568237;494.227783;1592.069092;Bilateral;Level1;0;0;1;0;14;14;1;127.211121;1;0;0;4;0.272131;0.000000;16.983059;19.673994;0.473444;0.000000;-0.880824;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
289;Herbivore;2;15.000000;569.916931;1232.269531;Bilateral;Level1;0;0;1;0;14;14;1;119.692108;1;0;0;2;0.296700;0.000000;50.000000;29.288795;-0.841172;0.000000;0.540768;0.000000;0.000000;0.000000;0;0.000000;5.760952;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.333333;0.000000;0.000000;1.000000;0.000000;0.000000;0.233333;0.000000;0.076980;0.019245;0.038490;0.096016;0.521323
